,ingredients,frequency
786,ผักกาดเเก้ว,1
787,ซีอิ้วเด็กสมบูรณ์,2
788,เนื้อหมูเด้ง,1
789,หมูหั่นชิ้น,8
790,เครื่องแกง,2
791,ผักต่างๆ,4
792,ซอดมะเขือเทศ,1
793,ต้นหอมผักชี,15
794,ไก่,13
795,ข่า,31
796,คนอร์,27
797,คิวพี มายองเนส ศรีราชา,2
798,ปลาแซลม่อน,2
799,ไข่หวาน,1
800,แตงกวาญี่ปุ่น,2
801,ถั่วแระญี่ปุ่น,2
802,งาดำ,3
803,ข้าวญี่ปุ่น,5
804,ปลาซาบะแช่แข็งLotus,1
805,น้ำสลัด,6
806,น้ำมันทอด,4
807,บล๊อคโคลี่,5
808,เนื้อหอยลายต้มสุก,1
809,เส้นบะหมี่กึ่งสำเร็จรูปรสอะไรก็ได้,1
810,กระเทียมไทยตำ,1
811,พริกขี้หนูสับ/ตำหรือซอย,1
812,น้ำซุปหรือน้ำสะอาด,1
813,นมพาสเจอไรซ์,1
814,เครื่องเเกงเขียวหวาน,1
815,ซีอิ้วขาวโลวโซเดี่ยม,1
816,มะเขือพวง,10
817,มะเขือ,3
818,หมี่กึง,3
819,ยอดมะพร้าวอ่อน,3
820,ผงปรุงรสเห็ดหอม,6
821,ซอสเห็ดหอม,26
822,ข้าวสวยหุงสุก,4
823,ใบกระเพา,5
824,"ผักชี , แตงกวา ,พริกไทยป่น",1
825,ลูกชิ้นหมู,17
826,ปลาเส้น,2
827,เส้นเกี๊ยมอี๋,1
828,ข้าวเย็น,5
829,พริกขี้หนูกับกระเทียมตำหยาบๆ,1
830,โหระพาเด็ด,2
831,เนื้อวัวลายserlion,1
832,มะเขือม่วง,4
833,McCormick Chilli Pepper BBQ Sauce,1
834,ผักสำหรับทำผักดอง,1
835,กระดูกซุปติดเนื้อ,1
836,ขาไก่ต้มสุก,1
837,ดอกงิ้วแช่น้ำ,1
838,น้ำพริกน้ำเงี๊ยว,1
839,ถั่วเน่า,2
840,น้ำตาลปิ๊บ,12
841,ผงปรุงรสตราคนอร์,5
842,มะเขือเทศสีดาผ่าครึ่งลูก,1
843,กระเทียมปอกเปลือกสับละเอียด,1
844,พริกขี้หนูทอด,2
845,เส้นหมีขาว,1
846,กระหล่ำซอย,1
847,ถั่วลิสงป่น,6
848,คนอร์ ผงรสหมู,1
849,กระเทียมโขลกหยาบๆ,2
850,รากผักชีโขลกละเอียด,1
851,มันฝรั่งขนาดกำปั้น,1
852,นมสดจืด,6
853,ชีส 4ชีส,1
854,กุ้งแชบ๊วย แกะเปลือก,1
855,มะกะโรนีต้มสุก,3
856,มะเขือเทศ หั่นสี่เหลี่ยม,1
857,หอมหัวใหญ่ หั่นขวาง,1
858,ต้นหอม หั่นท่อน,1
859,ซอสมะเขือ,2
860,ไส้กรอก หั่นเฉียง,1
861,ผักสามสี,9
862,ไข่เค็มต้ม,2
863,ซีอิ๊วขาวเห็ดหอม,5
864,เนื้อปลาดอลลี่,3
865,"แครอท,ฟักทอง,บล็อคโคลี่",1
866,ซูคราโรส,1
867,น้ำปลาโลว์โซเดียม,1
868,บวบเหลี่ยม,2
869,เส้นพาสต้า/เส้นสปาเก็ตตี้,1
870,พลาสเลย์สับ,1
871,เส้นเฟตตูชินี,2
872,น้ำพริกเผาต้มยำ,2
873,กะเพรา,11
874,ชีอิ๋วดำ,1
875,ข้าวหุงสุก,5
876,กะหล่ำ,3
877,เต้าหูปลา,1
878,พริกแกงใต้,9
879,คนอร์ก้อน,5
880,เนื้อไก่หั่นเต๋า,2
881,ซีอิ้ว,4
882,คนอร์ผง รสไก่,1
883,น้ำจิ้ม,1
884,น้ำตาลทราย+ปี๊ป,1
885,มะนาว+น้ำปลารวมกัน,1
886,มักกะโรนี,14
887,หอมใหญ่หั่นเต๋า,9
888,ไส้กรอก/แฮม,1
889,เกลือ/พริกไทย,2
890,สะโพกไก่ติดน่อง,1
891,แม็คคอร์มิค กริลล์ เมท ผงปรุงรสสำหรับสเต๊กไก่,1
892,แครอท /หอมใหญ่ซอย/ข้าวโพดอ่อน,1
893,มะแขว่น,1
894,แม็คคอร์มิค ซอสผงสำหรับทำน้ำเกรวี่ผสมหัวหอม,1
895,เกลือ/พริกไทยดำ,1
896,สี่อิ๋วขาวสูตร3,1
897,พริกชี้ฟ้าสามสี,1
898,กระเทียมไท,16
899,น้ำมันถั่ว เ หล ื ิ อง,1
900,น้ำดื่มตรา,1
901,ใบกระ เพรา แดง,2
902,หอมหัวใหญ่สับละเอียด,4
903,ขึ้นฉ่ายฝรั่งสับละเอียด,1
904,กระเทียมสับละเอียด,25
905,ใบกระวาน,10
906,ซอสเปรี้ยว,1
907,ผงปาปริก้า,4
908,พริกป่นละเอียด,2
909,น้ำสับปะรดคั้นสด,1
910,โรสแมรี่ป่นละเอียด,1
911,กุ้งล็อบสเตอร์,1
912,Mozzarella cheese,3
913,เนยสด,16
914,แครอทหั่นชิ้น,3
915,ซอสเทริยากิ,11
916,ตับหมูหั่น,1
917,หนังหมูหั่น,1
918,ต้มหอมผักชี/ผักชีฝรั่ง ซอย,1
919,ผงคนอร์รสลาบ น้ำตก,1
920,ดอกหอม,3
921,ต๊อกบกกีแท่ง,1
922,ไข่ต้มสุก,1
923,เห็ดชิตาเกะ,1
924,ไม่เสียบลูกชิ้น,1
925,เม็ดถั่วลันเตา,1
926,เนยชนิดจืด,1
927,ซ้อสมะเขือเทศ,2
928,ผงซุปก้อนหมู,6
929,น่องไก่ขนาดใหญ่  1 น่อง,1
930,ผงซุปหมูก้อน,5
931,ไส้กรอกไก่ขนาดยาว,1
932,หอมหัวใหญ่หั่นเต๋า,3
933,ผงซุปปลากะตัก,1
934,กิมจิแบบเปรี้ยว,1
935,ซีรัป,2
936,งาคั่ว,5
937,สาหร่ายแผ่น,2
938,ไข่ต้ม,25
939,ผงพริกโกชูการู,1
940,เส้นโซเมน,1
941,เนื้อหมูสันใน,5
942,โชยุญี่ปุ่น,2
943,น้ำเย็น สำหรับละลายแป้งมัน,1
944,น้ำปลาแท้,5
945,ซีอิ๊วแดง,1
946,พริกชี้ฟ้าเขียว-แดง อย่างละ,1
947,ไข่ไก่สด,5
948,ซอสปรุงรส หรือซีอิ้วขาว,1
949,น้ำมันสำหรับทอดไข่,2
950,ไก่แปรรูปตามชอบ,1
951,พริกชี้ฟ้าเขียว,1
952,มะเขือเปราะ,17
953,พริกชี้ฟ้าสีแดง,1
954,เครื่องแกงเขียวหวาน,3
955,เนือหมูสันคอ,1
956,ไข้เท้า,1
957,ผักโขมไทย,1
958,ซีอิ้วเกาหลี ถ้าไม่มีใช้ของไทยได้,1
959,ซอสบิบิมบับ,1
960,กิมจิอ,1
961,เส้นก๋วยเตี๋ยวเล็ก,2
962,ผักกาดขาว/ผักอื่นๆ,1
963,มะนาว/ถั่วลิสงบด/พริก/น้ำปลา/น้ำตาลทราย,1
964,ผักกระเฉด,11
965,ซีอิ๊วขาวสูตร1,1
966,รสดีหมู,3
967,ไก่ชุปแป้งทอดสำเร็จรูป,1
968,ข้าวญี่ปุ่นหุงสุก หรือ ข้าวสวย,1
969,หมี่ฮกเกี้ยน,2
970,น้ำสต๊อค,1
971,ซอสน้ำมันหอย,13
972,หอมซอย,2
973,หอมเจียว,14
974,ต้นหอมผักชีซอย,5
975,หมูปรุงรส,1
976,ต้มหอม,6
977,เต้าหู้,12
978,น้ำมันผัดข้าว,1
979,น้ำมันทอดไข่,1
980,น้ำมันทอดกุ้ง,1
981,มะม่วงเปรี้ยว,6
982,ขาหมู ขาหน้า,1
983,โป็ยกั๊ก,1
984,โอวิลติน,1
985,ผักกาดดองเปรี้ยว,1
986,ทะเล หอย+กุ้ง+ปลาหมึก,1
987,ผักกาดขาว+คะน้า,1
988,เส้นมาม่าลวก,3
989,น้ำสต้อค,2
990,ข้าวโพดอ่อนหั่น,2
991,มะระชิ้นใหญา,1
992,พริกไทยขาวป่น,16
993,เกลือปรุง,1
994,กระดูกข้อหมู,1
995,เครื่องปรุงรส,10
996,ซีอิ๊วชาว,1
997,โลโลน่า,1
998,หัวหอม,22
999,ซอสผัดกระเพรา,1
1000,เต้าเจี๊ยว,3
1001,คนอร์ต้มยำก้อน,2
1002,"ต้นหอม,ผักชี",1
1003,เกี๊ยว,1
1004,ถั่วลิสงคั่ว,11
1005,ผงปรุงรสคนอร์รสไก่,1
1006,ผักสดเช่น ถั่วงอก ผักบุ้ง,1
1007,พรกกระเทียมโครกหยาบๆ,1
1008,ผงคนอร์หมู,1
1009,กระเพรา,19
1010,มาม่า,29
1011,ไข่ไก่/ไข่เป็ด,1
1012,หมี่ขาวไวไว,2
1013,กึ่นช่าย,1
